time_period,time_identifier,geographic_level,country_code,country_name,region_code_origin,region_name_origin,YAG,sex,mature,selective_status,FSM,POLAR4,migration1,migration2,grads,grads_uk,unmatched_percent,overseas_percent,matched,prop_overall
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Total,2220,2220,0,0.0899887514060742,2220,73.9
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Total,62880,61425,0,2.31548480463097,61425,73.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Total,22215,21825,0,1.75991357969123,21825,26.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Left home region to study,Total,70540,69490,0,1.4870995180039699,69490,51.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Total,66370,65625,0,1.12246127885253,65625,48.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Total,550,550,0,0.181818181818182,550,20.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Total,2115,2100,0,0.755786490316486,2100,79.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Total,57240,55600,0,2.86852311239999,55600,74.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Total,19770,19320,0,2.27640631323351,19320,25.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Left home region to study,Total,66175,64895,0,1.93571784759055,64895,50.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Total,64210,63340,0,1.35497134313481,63340,49.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Total,410,405,0,1.22549019607843,405,24.9
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Total,1230,1220,0,0.811688311688312,1220,75.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Total,54415,51950,0,4.53183864743177,51950,72.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Total,20430,19740,0,3.37722088982429,19740,27.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Left home region to study,Total,51975,50485,0,2.87242434153568,50485,46.9
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Total,58205,57090,0,1.91055443877463,57090,53.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in home region,390,390,0,0,390,15.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently in home/study region,1995,1995,0,0.0501228008621122,1995,77.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in home region,48190,47610,0,1.20354423025046,47610,55.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently in home/study region,21095,20940,0,0.739441626771579,20940,24.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in home region,50025,49705,0,0.639667372966058,49705,37.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently in home/study region,64000,63680,0,0.501554663208387,63680,47.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in home region,540,540,0,0,540,18
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently in home/study region,2065,2065,0,0.0484378784209252,2065,68.7
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in home region,39540,38710,0,2.09160575634184,38710,46.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently in home/study region,18490,18225,0,1.42246741305641,18225,21.9
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in home region,49080,48430,0,1.3243953625787,48430,35.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently in home/study region,60690,60115,0,0.944173477458476,60115,44.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in home region,360,360,0,0,360,13.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently in home/study region,1930,1925,0,0.259201658890617,1925,72.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in home region,31700,30970,0,2.30606643742705,30970,41.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently in home/study region,15285,15035,0,1.65500098122588,15035,20.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in home region,43735,43105,0,1.43595372021768,43105,33.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently in home/study region,56495,55960,0,0.945216390831047,55960,43.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in home region,235,230,0,0.429184549356223,230,14.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently in home/study region,1055,1055,0,0.0946073793755913,1055,65.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in home region,26280,25910,0,1.40802191947637,25910,36.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently in home/study region,14305,14145,0,1.1046633573376201,14145,19.7
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in home region,31625,31290,0,1.07186897271319,31290,29.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently in home/study region,48050,47730,0,0.659743178838269,47730,44.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in study region,85,85,0,0,85,3.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in study region,9270,9145,0,1.35922330097087,9145,10.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in study region,12330,12235,0,0.762430042988077,12235,9.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in study region,160,160,0,0,160,5.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in study region,9445,9275,0,1.81029006987084,9275,11.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in study region,12535,12375,0,1.26865076198835,12375,9.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in study region,120,120,0,0,120,4.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in study region,8515,8405,0,1.24515446963468,8405,11.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in study region,11450,11310,0,1.23133350799057,11310,8.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently in study region,55,55,0,0,55,3.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently in study region,7430,7365,0,0.888410284022076,7365,10.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently in study region,8370,8300,0,0.836120401337793,8300,7.7
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently elsewhere,35,35,0,2.94117647058824,35,1.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently elsewhere,75,75,0,0,75,2.9
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently elsewhere,6905,6775,0,1.86875271621034,6775,7.9
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Most Selective,Total,Total,Stayed in home region to study,Currently elsewhere,1875,1830,0,2.40128068303095,1830,2.1
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Left home region to study,Currently elsewhere,4620,4535,0,1.81857544923144,4535,3.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Other,Total,Total,Stayed in home region to study,Currently elsewhere,3040,2990,0,1.77514792899408,2990,2.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Left home region to study,Currently elsewhere,90,85,0,2.24719101123596,85,2.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,FEC,Total,Total,Stayed in home region to study,Currently elsewhere,160,155,0,0.632911392405063,155,5.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Most Selective,Total,Total,Left home region to study,Currently elsewhere,13895,13440,0,3.29591249280368,13440,16.1
